orbit1 orbit2 k3 k2 k1 tau DenDen error
1 1 0 0 6 6 0.46237081 0.00799757
1 1 0 0 6 7 0.44236470 0.00515636
1 1 0 0 6 8 0.42600608 0.00746371
1 1 0 0 6 9 0.43663632 0.00722367
1 1 0 0 6 10 0.43234679 0.00833753
1 1 0 0 6 11 0.42427004 0.00758748
1 1 0 0 6 12 0.43036550 0.00725146
1 1 0 0 6 13 0.44572125 0.00781715
1 1 0 0 6 14 0.45851521 0.01100097
1 1 0 0 6 15 0.47045764 0.00855306
1 1 0 0 6 16 0.48885621 0.00631717
1 1 0 0 6 17 0.51066006 0.00734604
1 1 0 0 6 18 0.54475541 0.00810662
1 1 0 0 6 19 0.57914634 0.00653643
1 1 0 0 6 20 0.62115121 0.00699115
1 1 0 0 7 0 0.60710816 0.00572561
1 1 0 0 7 1 0.56460447 0.00662892
1 1 0 0 7 2 0.53874485 0.00561568
1 1 0 0 7 3 0.50370111 0.00472563
1 1 0 0 7 4 0.48631828 0.00478530
1 1 0 0 7 5 0.46098310 0.00664790
1 1 0 0 7 6 0.44788949 0.00434837
1 1 0 0 7 7 0.44362162 0.00449093
1 1 0 0 7 8 0.43408083 0.00648456
1 1 0 0 7 9 0.42800759 0.00654828
1 1 0 0 7 10 0.42758532 0.00772046
1 1 0 0 7 11 0.42196258 0.00589322
1 1 0 0 7 12 0.43760780 0.00571904
1 1 0 0 7 13 0.43888067 0.00564075
1 1 0 0 7 14 0.45355535 0.00611599
1 1 0 0 7 15 0.46307134 0.00689939
1 1 0 0 7 16 0.48711056 0.00563228
1 1 0 0 7 17 0.50053384 0.00563148
1 1 0 0 7 18 0.53120416 0.00398264
1 1 0 0 7 19 0.56366205 0.00514690
1 1 0 0 7 20 0.60710816 0.00572561
1 1 0 0 8 0 0.57380976 0.00464193
1 1 0 0 8 1 0.54449834 0.00676795
1 1 0 0 8 2 0.51502013 0.00530334
1 1 0 0 8 3 0.48756685 0.00505692
1 1 0 0 8 4 0.47048810 0.00331860
1 1 0 0 8 5 0.47044511 0.00661674
1 1 0 0 8 6 0.45145388 0.00622391
1 1 0 0 8 7 0.43569408 0.00471875
1 1 0 0 8 8 0.43324072 0.00807162
1 1 0 0 8 9 0.42971087 0.00730201
1 1 0 0 8 10 0.43276891 0.00444316
1 1 0 0 8 11 0.43669036 0.00631920
1 1 0 0 8 12 0.44239773 0.00607035
1 1 0 0 8 13 0.43779762 0.00452989
1 1 0 0 8 14 0.44666868 0.00883343
1 1 0 0 8 15 0.46356493 0.00718422
1 1 0 0 8 16 0.47220121 0.00449691
1 1 0 0 8 17 0.49596387 0.00558745
1 1 0 0 8 18 0.51503270 0.00655003
1 1 0 0 8 19 0.54833323 0.00484372
1 1 0 0 8 20 0.57380976 0.00464193
1 1 0 0 9 0 0.52289081 0.00736687
1 1 0 0 9 1 0.48813224 0.00577898
1 1 0 0 9 2 0.47106003 0.00557100
1 1 0 0 9 3 0.46298574 0.00811422
1 1 0 0 9 4 0.44225417 0.00684266
1 1 0 0 9 5 0.43144469 0.00519895
1 1 0 0 9 6 0.42556031 0.00668210
1 1 0 0 9 7 0.42337079 0.00811837
1 1 0 0 9 8 0.41704658 0.00657192
1 1 0 0 9 9 0.41792973 0.00724343
1 1 0 0 9 10 0.41345988 0.00589845
1 1 0 0 9 11 0.40428566 0.00699360
1 1 0 0 9 12 0.42321684 0.00495029
1 1 0 0 9 13 0.42742985 0.00581817
1 1 0 0 9 14 0.43238795 0.00841922
1 1 0 0 9 15 0.43401707 0.00617469
1 1 0 0 9 16 0.44946084 0.00522959
1 1 0 0 9 17 0.47314718 0.00567567
1 1 0 0 9 18 0.47638889 0.00634939
1 1 0 0 9 19 0.49367892 0.00589520
1 1 0 0 9 20 0.52289081 0.00736687
1 1 0 0 10 0 0.46886249 0.00568537
1 1 0 0 10 1 0.45784954 0.00410744
1 1 0 0 10 2 0.45094092 0.00633303
1 1 0 0 10 3 0.43662401 0.00535876
1 1 0 0 10 4 0.43671627 0.00588981
1 1 0 0 10 5 0.42089081 0.00487277
1 1 0 0 10 6 0.41940941 0.00632164
1 1 0 0 10 7 0.42073146 0.00451048
1 1 0 0 10 8 0.41520566 0.00810760
1 1 0 0 10 9 0.41421674 0.00445466
1 1 0 0 10 10 0.41559173 0.00511173
1 1 0 0 10 11 0.42160580 0.00657646
1 1 0 0 10 12 0.40864136 0.00522274
1 1 0 0 10 13 0.41624545 0.00428503
1 1 0 0 10 14 0.42114767 0.00506801
1 1 0 0 10 15 0.42776679 0.00656718
1 1 0 0 10 16 0.42969349 0.00555842
1 1 0 0 10 17 0.43491270 0.00421028
1 1 0 0 10 18 0.45252496 0.00604321
1 1 0 0 10 19 0.45804388 0.00811027
1 1 0 0 10 20 0.46886249 0.00568537
1 1 0 0 11 0 0.41963790 0.00507708
1 1 0 0 11 1 0.42129359 0.00671675
1 1 0 0 11 2 0.41954615 0.00411755
1 1 0 0 11 3 0.42203313 0.00440192
1 1 0 0 11 4 0.41088423 0.00615354
1 1 0 0 11 5 0.41326815 0.00697483
1 1 0 0 11 6 0.41747666 0.00498461
1 1 0 0 11 7 0.40829151 0.00525362
1 1 0 0 11 8 0.41143484 0.00693819
1 1 0 0 11 9 0.40464536 0.00645914
1 1 0 0 11 10 0.40364948 0.00453070
1 1 0 0 11 11 0.40803293 0.00773258
1 1 0 0 11 12 0.40417597 0.00320286
1 1 0 0 11 13 0.40333162 0.00424369
1 1 0 0 11 14 0.40326663 0.00596669
1 1 0 0 11 15 0.41635466 0.00994492
1 1 0 0 11 16 0.40989556 0.00601852
