orbit1 orbit2 r3 r2 r1 tau DenDen error
1 1 0 0 6 6 0.99912934 0.00215744
1 1 0 0 6 7 0.99997465 0.00243282
1 1 0 0 6 8 0.99908480 0.00212519
1 1 0 0 6 9 1.00016050 0.00210162
1 1 0 0 6 10 1.00031752 0.00206462
1 1 0 0 6 11 0.99975794 0.00186951
1 1 0 0 6 12 0.99974855 0.00169926
1 1 0 0 6 13 1.00023963 0.00202300
1 1 0 0 6 14 1.00039680 0.00198582
1 1 0 0 6 15 1.00002545 0.00211056
1 1 0 0 6 16 0.99939654 0.00207343
1 1 0 0 6 17 0.99976033 0.00202688
1 1 0 0 6 18 1.00015352 0.00195425
1 1 0 0 6 19 1.00033324 0.00235649
1 1 0 0 6 20 0.99921216 0.00184434
1 1 0 0 7 0 0.99904646 0.00243629
1 1 0 0 7 1 0.99866645 0.00227452
1 1 0 0 7 2 0.99915238 0.00231410
1 1 0 0 7 3 0.99990727 0.00242109
1 1 0 0 7 4 0.99907804 0.00235204
1 1 0 0 7 5 1.00014823 0.00262409
1 1 0 0 7 6 0.99944547 0.00271048
1 1 0 0 7 7 1.00082242 0.00243991
1 1 0 0 7 8 0.99948404 0.00242840
1 1 0 0 7 9 0.99928736 0.00231884
1 1 0 0 7 10 0.99943545 0.00251696
1 1 0 0 7 11 0.99961215 0.00219733
1 1 0 0 7 12 0.99956173 0.00261946
1 1 0 0 7 13 0.99902406 0.00251822
1 1 0 0 7 14 0.99973275 0.00261902
1 1 0 0 7 15 0.99921017 0.00222874
1 1 0 0 7 16 0.99948078 0.00237157
1 1 0 0 7 17 0.99946248 0.00261038
1 1 0 0 7 18 0.99933401 0.00229858
1 1 0 0 7 19 1.00000750 0.00248792
1 1 0 0 7 20 0.99904646 0.00243629
1 1 0 0 8 0 1.00031882 0.00235411
1 1 0 0 8 1 1.00014771 0.00240898
1 1 0 0 8 2 0.99964277 0.00248456
1 1 0 0 8 3 1.00028108 0.00237949
1 1 0 0 8 4 0.99933389 0.00232691
1 1 0 0 8 5 0.99973669 0.00218983
1 1 0 0 8 6 0.99928348 0.00245949
1 1 0 0 8 7 0.99984351 0.00225954
1 1 0 0 8 8 0.99956848 0.00243925
1 1 0 0 8 9 0.99900072 0.00241798
1 1 0 0 8 10 0.99924601 0.00252535
1 1 0 0 8 11 1.00022349 0.00253393
1 1 0 0 8 12 0.99975994 0.00262899
1 1 0 0 8 13 0.99941615 0.00227480
1 1 0 0 8 14 1.00029272 0.00264037
1 1 0 0 8 15 0.99920046 0.00232067
1 1 0 0 8 16 0.99963820 0.00229937
1 1 0 0 8 17 0.99950350 0.00217864
1 1 0 0 8 18 0.99973056 0.00218372
1 1 0 0 8 19 0.99987297 0.00236791
1 1 0 0 8 20 1.00031882 0.00235411
1 1 0 0 9 0 1.00038717 0.00211633
1 1 0 0 9 1 0.99931764 0.00235096
1 1 0 0 9 2 0.99965978 0.00237302
1 1 0 0 9 3 0.99997604 0.00228429
1 1 0 0 9 4 0.99921014 0.00232303
1 1 0 0 9 5 0.99973488 0.00247466
1 1 0 0 9 6 1.00033499 0.00259127
1 1 0 0 9 7 0.99894355 0.00195652
1 1 0 0 9 8 0.99981104 0.00223229
1 1 0 0 9 9 0.99984389 0.00215225
1 1 0 0 9 10 0.99921476 0.00214045
1 1 0 0 9 11 1.00056069 0.00226236
1 1 0 0 9 12 1.00096972 0.00244757
1 1 0 0 9 13 1.00032634 0.00227791
1 1 0 0 9 14 0.99877240 0.00215417
1 1 0 0 9 15 1.00015685 0.00226840
1 1 0 0 9 16 0.99926016 0.00227292
1 1 0 0 9 17 0.99975319 0.00243444
1 1 0 0 9 18 0.99915094 0.00282752
1 1 0 0 9 19 0.99872014 0.00248760
1 1 0 0 9 20 1.00038717 0.00211633
1 1 0 0 10 0 1.00094059 0.00234057
1 1 0 0 10 1 1.00102751 0.00248006
1 1 0 0 10 2 1.00151545 0.00222218
1 1 0 0 10 3 1.00168608 0.00244257
1 1 0 0 10 4 1.00198291 0.00243715
1 1 0 0 10 5 1.00189444 0.00228876
1 1 0 0 10 6 1.00110431 0.00225481
1 1 0 0 10 7 1.00225744 0.00238626
1 1 0 0 10 8 1.00186503 0.00232781
1 1 0 0 10 9 1.00133715 0.00234462
1 1 0 0 10 10 1.00222340 0.00227590
1 1 0 0 10 11 1.00170966 0.00227108
1 1 0 0 10 12 1.00130963 0.00250572
1 1 0 0 10 13 1.00114753 0.00234470
1 1 0 0 10 14 1.00134011 0.00243562
1 1 0 0 10 15 1.00219120 0.00251907
1 1 0 0 10 16 1.00221370 0.00244101
1 1 0 0 10 17 1.00159567 0.00244323
1 1 0 0 10 18 1.00192395 0.00250778
1 1 0 0 10 19 1.00136676 0.00244543
1 1 0 0 10 20 1.00094059 0.00234057
1 1 0 0 11 0 0.94491662 0.00272934
1 1 0 0 11 1 0.95506271 0.00229599
1 1 0 0 11 2 0.96294110 0.00256423
1 1 0 0 11 3 0.96800420 0.00238638
1 1 0 0 11 4 0.97347435 0.00267793
1 1 0 0 11 5 0.97660730 0.00243075
1 1 0 0 11 6 0.97874362 0.00272069
1 1 0 0 11 7 0.98062672 0.00253709
1 1 0 0 11 8 0.98074693 0.00252384
1 1 0 0 11 9 0.98266148 0.00247539
1 1 0 0 11 10 0.98217274 0.00252399
1 1 0 0 11 11 0.98294846 0.00275849
1 1 0 0 11 12 0.98266381 0.00255800
1 1 0 0 11 13 0.98007197 0.00258372
1 1 0 0 11 14 0.97767110 0.00281245
1 1 0 0 11 15 0.97645389 0.00263212
1 1 0 0 11 16 0.97303427 0.00239764
1 1 0 0 11 17 0.96975178 0.00243496
1 1 0 0 11 18 0.96248049 0.00245622
